Year,DOY,DOYc,DOEc,Month,Day,Hour,Minute,CO2_flux,CH4_flux,N2O_flux
2014,255,255.5076273,1.507627315,9,12,12,10,2.80449,-0.00100487,-0.000435527
2014,255,255.5388194,1.538819444,9,12,12,55,3.66663,-0.00117432,0.000248023
2014,255,255.5700116,1.570011574,9,12,13,40,3.22938,-0.0010457,0.000156087
2014,255,255.6012269,1.601226852,9,12,14,25,3.79858,-0.00108369,0.000758772
2014,255,255.632419,1.632418981,9,12,15,10,3.31314,-0.00127514,0.00296842
2014,255,255.6636111,1.663611111,9,12,15,55,3.505,-0.00105521,-0.000165749
2014,255,255.6948032,1.694803241,9,12,16,40,3.48976,-0.00120285,-0.000393114
2014,255,255.7259954,1.72599537,9,12,17,25,3.3687,-0.00121386,0.00410455
2014,255,255.7571875,1.7571875,9,12,18,10,3.6482,NaN,NaN
2014,255,255.7883796,1.78837963,9,12,18,55,4.21992,-0.00120094,0.000296213
2014,255,255.8196181,1.819618056,9,12,19,40,3.86374,-0.0011799,-0.000133807
2014,255,255.8508681,1.850868056,9,12,20,25,3.68561,-0.00121596,0.000491665
2014,255,255.8821181,1.882118056,9,12,21,10,NaN,NaN,NaN
2014,255,255.9133681,1.913368056,9,12,21,55,3.4207,-0.00107093,-0.000117026
2014,255,255.9445949,1.944594907,9,12,22,40,3.608,-0.00111951,-0.00049111
2014,255,255.9758681,1.975868056,9,12,23,25,3.42708,-0.00118724,0.000506925
2014,256,256.0071181,2.007118056,9,13,0,10,9.73972,-0.000416089,-9.63E-05
2014,256,256.0383681,2.038368056,9,13,0,55,3.50793,-0.00126868,0.000485126
2014,256,256.0695949,2.069594907,9,13,1,40,3.806,-0.00139009,0.000427081
2014,256,256.1008102,2.100810185,9,13,2,25,3.2543,-0.00121278,0.000465615
2014,256,256.1320833,2.132083333,9,13,3,10,7.10787,-0.000795634,0.000658062
2014,256,256.1633218,2.163321759,9,13,3,55,3.26383,-0.00124531,-0.000214152
2014,256,256.1945949,2.194594907,9,13,4,40,3.67915,-0.00110506,4.74E-05
2014,256,256.2258449,2.225844907,9,13,5,25,3.29728,-0.00111397,0.000425365
2014,256,256.2570486,2.257048611,9,13,6,10,3.34142,-0.00116585,-0.000378095
2014,256,256.2882639,2.288263889,9,13,6,55,3.23371,-0.00113573,-0.000545502
2014,256,256.3194792,2.319479167,9,13,7,40,3.24246,-0.00115603,0.000824184
